bionicx-exec: running untraced pid=27093
libaudit1:arm64	1:4.0.2-2+b2	installed
libavahi-client3:arm64	0.8-16	installed
libavahi-common-data:arm64	0.8-16	installed
libavahi-common3:arm64	0.8-16	installed
libavc1394-0:arm64	0.5.4-5+b2	installed
libavcodec61:arm64	7:7.1.5-0+deb13u1	installed
libavdevice61:arm64	7:7.1.5-0+deb13u1	installed
libavfilter10:arm64	7:7.1.5-0+deb13u1	installed
libavformat61:arm64	7:7.1.5-0+deb13u1	installed
libavif16:arm64	1.2.1-1.2	installed
libavutil59:arm64	7:7.1.5-0+deb13u1	installed
libb2-1:arm64	0.98.1-1.1+b2	installed
libbabl-0.1-0:arm64	1:0.1.114-2	installed
libbinutils:arm64	2.44-3	installed
libblas3:arm64	3.12.1-6	installed
libblkid1:arm64	2.41-5	installed
libblosc1:arm64	1.21.5+ds-1+b2	installed
libbluray2:arm64	1:1.3.4-1+b2	installed
libboost-filesystem1.83.0:arm64	1.83.0-4.2	installed
libboost-iostreams1.83.0:arm64	1.83.0-4.2	installed
libboost-locale1.83.0:arm64	1.83.0-4.2	installed
libboost-thread1.83.0:arm64	1.83.0-4.2	installed
libbotan-2-19:arm64	2.19.5+dfsg-4	installed
libbrotli1:arm64	1.1.0-2+b7	installed
libbs2b0:arm64	3.1.0+dfsg-8+b1	installed
libbsd0:arm64	0.12.2-2	installed
libbz2-1.0:arm64	1.0.8-6	installed
libc-bin	2.41-12+deb13u3	installed
libc6:arm64	2.41-12+deb13u3	installed
libcaca0:arm64	0.99.beta20-5+deb13u1	installed
libcairo-gobject2:arm64	1.18.4-1+b1	installed
libcairo2:arm64	1.18.4-1+b1	installed
libcairomm-1.0-1v5:arm64	1.14.5-2+b1	installed
libcamd3:arm64	1:7.10.1+dfsg-1	installed
libcap-ng0:arm64	0.8.5-4+b1	installed
libcap2:arm64	1:2.75-10+deb13u1+b1	installed
libcap2-bin	1:2.75-10+deb13u1+b1	installed
libccolamd3:arm64	1:7.10.1+dfsg-1	installed
libcddb2	1.3.2-7.1	installed
libcdio-cdda2t64:arm64	10.2+2.0.2-1+b1	installed
libcdio-paranoia2t64:arm64	10.2+2.0.2-1+b1	installed
libcdio19t64:arm64	2.2.0-4.1~deb13u1	installed
libcdparanoia0:arm64	3.10.2+debian-14+b1	installed
libcdr-0.1-1:arm64	0.1.7-1+b3	installed
libcdt5:arm64	2.42.4-3	installed
libcfitsio10t64:arm64	4.6.2-2	installed
libcgraph6:arm64	2.42.4-3	installed
libcharls2:arm64	2.4.2-2+b2	installed
libcholmod5:arm64	1:7.10.1+dfsg-1	installed
libchromaprint1:arm64	1.5.1-7	installed
libcjson1:arm64	1.7.18-3.1+deb13u1	installed
libcloudproviders0:arm64	0.3.6-2	installed
libclucene-contribs1t64:arm64	2.3.3.4+dfsg-1.2+b1	installed
libclucene-core1t64:arm64	2.3.3.4+dfsg-1.2+b1	installed
libcmis-0.6-6t64	0.6.2-2.1+b2	installed
libcodec2-1.2:arm64	1.2.0-3	installed
libcolamd3:arm64	1:7.10.1+dfsg-1	installed
libcolord2:arm64	1.4.7-3	installed
libcom-err2:arm64	1.47.2-3+b11	installed
libcrypt1:arm64	1:4.4.38-1	installed
libctf-nobfd0:arm64	2.44-3	installed
libctf0:arm64	2.44-3	installed
libcups2t64:arm64	2.4.10-3+deb13u2	installed
libcurl3t64-gnutls:arm64	8.14.1-2+deb13u4	installed
libcurl4t64:arm64	8.14.1-2+deb13u4	installed
libdatrie1:arm64	0.2.13-3+b1	installed
libdav1d7:arm64	1.5.1-1	installed
libdb5.3t64:arm64	5.3.28+dfsg2-9	installed
libdbus-1-3:arm64	1.16.2-2	installed
libdc1394-25:arm64	2.2.6-5	installed
libdconf1:arm64	0.40.0-5	installed
libde265-0:arm64	1.0.15-1+deb13u1	installed
libdebconfclient0:arm64	0.280	installed
libdecor-0-0:arm64	0.2.2-2	installed
libdeflate0:arm64	1.23-2	installed
libdjvulibre-text	3.5.28-2.2	installed
libdjvulibre21:arm64	3.5.28-2.2	installed
libdouble-conversion3:arm64	3.3.1-1	installed
libdrm-amdgpu1:arm64	2.4.124-2	installed
libdrm-common	2.4.124-2	installed
libdrm2:arm64	2.4.124-2	installed
libduktape207:arm64	2.7.0-2+b2	installed
libdvbpsi10:arm64	1.3.3-1+b2	installed
libdvdnav4:arm64	6.1.1-3+b1	installed
libdvdread8t64:arm64	6.1.3-2	installed
libe-book-0.1-1:arm64	0.1.3-2+b4	installed
libebml5:arm64	1.4.5-1+b1	installed
libebur128-1:arm64	1.2.6-1+b2	installed
libedit2:arm64	3.1-20250104-1	installed
libegl-mesa0:arm64	25.0.7-2+deb13u1	installed
libegl1:arm64	1.7.0-1+b2	installed
libelf1t64:arm64	0.192-4	installed
libenchant-2-2:arm64	2.8.2+dfsg1-3	installed
libeot0:arm64	0.01-5+b2	installed
libepoxy0:arm64	1.5.10-2	installed
libepubgen-0.1-1:arm64	0.1.1-1+b2	installed
libetonyek-0.1-1:arm64	0.1.12-1	installed
libevdev2:arm64	1.13.4+dfsg-1	installed
libevdocument3-4t64:arm64	48.1-3+deb13u1	installed
libevent-2.1-7t64:arm64	2.1.12-stable-10+b1	installed
libevview3-3t64:arm64	48.1-3+deb13u1	installed
libexif12:arm64	0.6.25-1+deb13u1	installed
libexiv2-28:arm64	0.28.5+dfsg-1	installed
libexiv2-data	0.28.5+dfsg-1	installed
libexo-2-0:arm64	4.20.0-1	installed
libexo-common	4.20.0-1	installed
libexpat1:arm64	2.8.2-1~deb13u1	installed
libexttextcat-2.0-0:arm64	3.4.7-1+b1	installed
libexttextcat-data	3.4.7-1	installed
libfaad2:arm64	2.11.2-1	installed
libffi8:arm64	3.4.8-2	installed
libfftw3-double3:arm64	3.3.10-2+b1	installed
libfilezilla-common	0.49.0-2	installed
libfilezilla46:arm64	0.49.0-2	installed
libflac14:arm64	1.5.0+ds-2	installed
libflite1:arm64	2.2-7	installed
libfontconfig1:arm64	2.15.0-2.3	installed
